year,country,continent,rpgR,rpgD,user,con,amsale,amR,anime,gdp,gdpperson,mobile
2016,U.S.,North America,1290.6,51,139.99,363,26704,1085,114,18509.6,57292.53878,338.24
2017,U.S.,North America,1754,88,104.47,347,24750,1016,102,18924.57,58207.57831,340.11
2018,U.S.,North America,2546.64,112,173.06,343,22968,1096,138,19481.97,59607.39366,348.24
2019,U.S.,North America,5467.5,113,218.3,352,37230,1210,105,19928.98,60698.0113,355.76
2020,U.S.,North America,4754.5171,115,329.49,128,9680,997,93,19377.38,58451.60672,352.52
2021,U.S.,North America,5113.85,155,312.3,202,25200,1180,127,20529.46,61829.84563,361.66
2022,U.S.,North America,6612.706,166,326.52,325,26716,1189,128,20952.69,62866.71439,372.68
2016,Canada,North America,29,1,9.91,45,11500,517,114,1572.1,43536.9134,30.75
2017,Canada,North America,47,2,10.74,53,23400,1053,102,1619.89,44325.48834,31.69
2018,Canada,North America,56,2.7,12.6,50,10730,482,138,1664.87,44917.48373,33.21
2019,Canada,North America,76,5.1,21.9,45,20017,900,105,1696.31,45113.06628,34.37
2020,Canada,North America,123,5.7,21.2,16,20542,924,93,1610.23,42366.48714,32.36
2021,Canada,North America,115.8,5,14.1,10,20655,929,127,1690.93,44234.54214,33.61
2022,Canada,North America,93.5,5.7,14.9,25,20700,938,128,1748.36,44910.44173,35.08
2016,Mexico,North America,65.52,1.06,31.07,0,1380,62,114,1202.7,9897.170878,111.73
2017,Mexico,North America,108.18,2.23,33.82,1,1808,126,102,1228.11,9997.707942,114.33
2018,Mexico,North America,130.8,2.48,34.38,1,1287,57,138,1255.07,10120.38483,120.17
2019,Mexico,North America,171.32,2.81,36.5,1,2402,108,105,1252.57,10013.72425,122.04
2020,Mexico,North America,285.77,3.47,39.1,1,2465,110,93,1152.52,9147.072744,122.9
2021,Mexico,North America,276.8,4.93,41.6,0,2478,111,127,1206.92,9525.429719,126.47
2022,Mexico,North America,226.02,5.5,44,1,2484,112,128,1243.88,9755.616873,127.87
2016,Germany,Europe,120.384,72.96,17.29,7,7820,351,114,3432.46,41682.03224,103.47
2017,Germany,Europe,142.88,0.77,17.92,10,15912,716,102,3524.46,42639.55441,109.7
2018,Germany,Europe,183,1.36,16.28,12,7296.4,327,138,3559.04,42928.74124,107.5
2019,Germany,Europe,328,3.66,40.2,12,13611,612,105,3596.65,43284.60246,107.2
2020,Germany,Europe,801.9,7.35,75.5,4,13968,628,93,3463.69,41650.42271,107.4
2021,Germany,Europe,526.79,5.59,49.8,9,14045,631,127,3554.68,42726.48532,106.4
2022,Germany,Europe,679.991,6.33,42.2,10,14076,637,128,3618.13,43032.14208,104.4
2016,U.K.,Europe,106.92,1.68,16.3,27,440,179,114,2998.4,45699.29696,78.93
2017,U.K.,Europe,175.86,3,17.71,23,594,266,102,3071.67,46499.01355,79.1
2018,U.K.,Europe,212.4,4.1,19.121,28,1209,544,138,3124.04,47006.14293,78.89
2019,U.K.,Europe,277.26,3.97,17,30,554,248,105,3174.16,47491.59456,80.7
2020,U.K.,Europe,459.73,10,39.1,22,1034,465,93,2824.03,42098.60293,79.01
2021,U.K.,Europe,441.5,13,36.3,20,1061,477,127,3038.58,45334.157,79.77
2022,U.K.,Europe,366.42,8,22.1,35,1800,500,128,3163.21,47232.27181,81.56
2016,France,Europe,132.04,1.6,15.62,5,6881,308,114,2465.91,36956.7958,67.57
2017,France,Europe,152.34,3.29,16.42,8,14002,630,102,2522.41,37694.0833,69.02
2018,France,Europe,206.4528,3.6,16.51,8,16420,687,138,2569.46,38259.69777,70.42
2019,France,Europe,275.2704,9,39.3,18,11977,538,105,2616.81,38832.0242,72.04
2020,France,Europe,498.15,17.6,65.51,6,12291,552,93,2413.1,35712.0752,72.75
2021,France,Europe,395.676,21.8,60.53,12,12359,555,127,2577.6,38045.90216,75.3
2022,France,Europe,342.9552,21.65,57,12,12386,560,128,2643.64,38913.93741,76.81
2016,Italy,Europe,34.08,2.79,12.91,1,320,13,114,1860.39,30685.6459,85.96
2017,Italy,Europe,56.7,4.38,13.62,1,297,12,102,1891.42,31244.2271,83.87
2018,Italy,Europe,69.2,5.084,13.91,1,275,13,138,1908.93,31593.48026,83.34
2019,Italy,Europe,91.611,6.42,14.3,1,446,14,105,1918.16,32114.29986,79.48
2020,Italy,Europe,154.253,10.37,14.9,0,116,11,93,1745.92,29373.44509,77.58
2021,Italy,Europe,149.818,9.75,15.4,1,302,14,127,1867.91,31600.70948,78.11
2022,Italy,Europe,125.8121,7.96,15.8,1,320,14,128,1936.55,32902.66514,78.5
2016,Spain,Europe,17,1.05,12.92,4,213,8,114,1232.49,26514.32481,51.52
2017,Spain,Europe,34,2.05,12.99,5,198,8,102,1269.17,27239.35244,52.51
2018,Spain,Europe,31,1.58,9.15,6,183,8,138,1298.16,27739.86477,54.16
2019,Spain,Europe,46,1.8,10,8,297,9,105,1323.92,28087.89792,55.35
2020,Spain,Europe,89,5.68,26.7,4,77,7,93,1173.98,24785.44671,55.65
2021,Spain,Europe,82,7,26.7,6,201,9,127,1238.78,26125.87167,56.81
2022,Spain,Europe,78,8,29.7,9,213,9,128,1306.31,27434.87991,59.02
2016,Netherlands,Europe,4.0176,0.668,3.53,4,4,2,114,782.35,45938.78504,20.89
2017,Netherlands,Europe,6.561,1.41,3.84,3,6,2.9,102,805.13,46997.34545,20.53
2018,Netherlands,Europe,7.938,1.42,3.55,3,13,5.9,138,824.13,47826.81912,21.11
2019,Netherlands,Europe,10.43,1.51,3.53,3,6,2.7,105,840.25,48443.73205,21.76
2020,Netherlands,Europe,17.49,2.42,4.9,2,11,5.1,93,807.6,46303.21886,21.42
2021,Netherlands,Europe,17.18,3.43,5.2,1,11,5.2,127,846.87,48301.52896,21.89
2022,Netherlands,Europe,14.64,3.89,5.6,4,19,5.5,128,884.8,49979.8527,20.74
2016,Ireland,Europe,4.8,0.277,1.29,5,28,11,114,297.63,62588.66828,4.88
2017,Ireland,Europe,7.92,0.547,1.31,3,38,17,102,324.43,67486.2718,4.9
2018,Ireland,Europe,9.4,0.829,1.82,1,77,48,138,352.1,72339.42185,4.97
2019,Ireland,Europe,12.15,0.633,1.3,0,35,15,105,371.26,75239.30289,5.16
2020,Ireland,Europe,20.087,1.57,1.4,0,66,29,93,394.22,79074.54014,5.23
